clip_id,bin_index,start_ms,end_ms,file_path,light_asd_score,mouth_motion,face_track_count
1hgHDUzhqCQ_s0000002562_e0000007006,21,4200,4400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1hgHDUzhqCQ_s0000002562_e0000007006.mp4,0.025707781314849854,2.1867572156196946,1
1ucBZ4StNP0_s0000719522_e0000722238,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.4304382801055908,1.750848896434635,2
1ucBZ4StNP0_s0000719522_e0000722238,2,400,600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.36960113048553467,1.6247877758913412,2
1ucBZ4StNP0_s0000719522_e0000722238,3,600,800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.40208542346954346,2.268251273344652,2
1ucBZ4StNP0_s0000719522_e0000722238,4,800,1000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.4378729462623596,2.7495755517826823,2
1ucBZ4StNP0_s0000719522_e0000722238,5,1000,1200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.29363828897476196,1.8132427843803056,2
1ucBZ4StNP0_s0000719522_e0000722238,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,0.12329275161027908,3.377334465195246,2
1ucBZ4StNP0_s0000719522_e0000722238,10,2000,2200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,0.24572908878326416,1.3883701188455009,2
1ucBZ4StNP0_s0000719522_e0000722238,11,2200,2400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.23738716542720795,1.5734295415959254,2
1ucBZ4StNP0_s0000719522_e0000722238,12,2400,2600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\1ucBZ4StNP0_s0000719522_e0000722238.mp4,-0.414100706577301,2.730050933786078,2
