clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
-PMSk6LTXoQ_s0000366722_e0000370910,-PMSk6LTXoQ,366.722,370.91,4.188,1.0,1.0,5.07,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000366722_e0000370910.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000371138_e0000381438,-PMSk6LTXoQ,371.138,381.438,10.3,1.0,1.0,5.4,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000371138_e0000381438.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000381730_e0000384766,-PMSk6LTXoQ,381.73,384.766,3.036,1.0,1.0,4.76,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000381730_e0000384766.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000388962_e0000393962,-PMSk6LTXoQ,388.962,393.962,5.0,1.0,1.0,4.83,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000388962_e0000393962.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000392962_e0000397962,-PMSk6LTXoQ,392.962,397.962,5.0,1.0,1.0,5.14,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000392962_e0000397962.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000425122_e0000431902,-PMSk6LTXoQ,425.122,431.902,6.78,1.0,1.0,6.46,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000425122_e0000431902.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000432034_e0000442014,-PMSk6LTXoQ,432.034,442.014,9.98,0.9,1.0,4.98,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000432034_e0000442014.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000442114_e0000453854,-PMSk6LTXoQ,442.114,453.854,11.74,1.0,1.0,5.03,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000442114_e0000453854.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000454178_e0000459178,-PMSk6LTXoQ,454.178,459.178,5.0,1.0,1.0,5.1,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000454178_e0000459178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000458178_e0000463178,-PMSk6LTXoQ,458.178,463.178,5.0,1.0,1.0,4.91,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000458178_e0000463178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000462178_e0000467178,-PMSk6LTXoQ,462.178,467.178,5.0,1.0,1.0,5.18,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000462178_e0000467178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000497890_e0000504894,-PMSk6LTXoQ,497.89,504.894,7.004,0.857,1.0,5.92,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000497890_e0000504894.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
