clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path
0wOdyRpc0wc_clip0013_t00130,0wOdyRpc0wc,130.146,137.182,7.036,1.0,1.0,20.98,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0013_t00130.mp4
0wOdyRpc0wc_clip0014_t00138,0wOdyRpc0wc,138.562,145.086,6.524,1.0,1.0,20.83,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0014_t00138.mp4
0wOdyRpc0wc_clip0015_t00145,0wOdyRpc0wc,145.474,150.814,5.34,1.0,1.0,21.11,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0015_t00145.mp4
0wOdyRpc0wc_clip0016_t00151,0wOdyRpc0wc,151.298,157.886,6.588,1.0,1.0,21.17,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0016_t00151.mp4
0wOdyRpc0wc_clip0017_t00163,0wOdyRpc0wc,163.394,166.11,2.716,1.0,1.0,21.86,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0017_t00163.mp4
0wOdyRpc0wc_clip0018_t00176,0wOdyRpc0wc,176.674,181.674,5.0,1.0,1.0,21.11,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0018_t00176.mp4
0wOdyRpc0wc_clip0019_t00180,0wOdyRpc0wc,180.674,185.674,5.0,1.0,1.0,21.29,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0019_t00180.mp4
0wOdyRpc0wc_clip0020_t00193,0wOdyRpc0wc,193.09,196.03,2.94,1.0,1.0,21.56,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0020_t00193.mp4
0wOdyRpc0wc_clip0021_t00196,0wOdyRpc0wc,196.162,200.062,3.9,1.0,1.0,19.57,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0021_t00196.mp4
0wOdyRpc0wc_clip0022_t00202,0wOdyRpc0wc,202.178,207.178,5.0,1.0,1.0,21.05,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0022_t00202.mp4
0wOdyRpc0wc_clip0023_t00210,0wOdyRpc0wc,210.178,215.178,5.0,1.0,1.0,31.36,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0023_t00210.mp4
0wOdyRpc0wc_clip0024_t00216,0wOdyRpc0wc,216.322,220.222,3.9,1.0,1.0,30.71,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0024_t00216.mp4
0wOdyRpc0wc_clip0025_t00237,0wOdyRpc0wc,237.346,240.51,3.164,1.0,1.0,22.56,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0025_t00237.mp4
0wOdyRpc0wc_clip0026_t00240,0wOdyRpc0wc,240.61,245.982,5.372,1.0,1.0,24.29,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0026_t00240.mp4
0wOdyRpc0wc_clip0027_t00246,0wOdyRpc0wc,246.114,248.318,2.204,1.0,1.0,23.51,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0027_t00246.mp4
0wOdyRpc0wc_clip0028_t00248,0wOdyRpc0wc,248.802,250.974,2.172,1.0,1.0,21.73,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0028_t00248.mp4
0wOdyRpc0wc_clip0029_t00269,0wOdyRpc0wc,269.09,273.054,3.964,1.0,1.0,16.35,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0029_t00269.mp4
0wOdyRpc0wc_clip0030_t00273,0wOdyRpc0wc,273.218,278.218,5.0,1.0,1.0,15.3,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0030_t00273.mp4
0wOdyRpc0wc_clip0031_t00277,0wOdyRpc0wc,277.218,282.218,5.0,1.0,1.0,15.19,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0031_t00277.mp4
0wOdyRpc0wc_clip0032_t00281,0wOdyRpc0wc,281.218,286.218,5.0,1.0,1.0,14.17,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0032_t00281.mp4
0wOdyRpc0wc_clip0033_t00285,0wOdyRpc0wc,285.218,290.218,5.0,1.0,1.0,14.37,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0033_t00285.mp4
0wOdyRpc0wc_clip0034_t00291,0wOdyRpc0wc,291.97,301.662,9.692,0.7,1.0,21.28,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0034_t00291.mp4
0-fu0N-npmg_clip0000_t00009,0-fu0N-npmg,9.218,15.678,6.46,1.0,1.0,3.07,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0000_t00009.mp4
0-fu0N-npmg_clip0001_t00044,0-fu0N-npmg,44.034,49.214,5.18,1.0,1.0,2.17,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0001_t00044.mp4
0-fu0N-npmg_clip0002_t00049,0-fu0N-npmg,49.314,57.854,8.54,1.0,1.0,2.21,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0002_t00049.mp4
0-fu0N-npmg_clip0003_t00070,0-fu0N-npmg,70.466,74.43,3.964,0.75,1.0,2.83,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0003_t00070.mp4
0-fu0N-npmg_clip0004_t00085,0-fu0N-npmg,85.41,90.41,5.0,1.0,1.0,4.69,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0004_t00085.mp4
0-fu0N-npmg_clip0005_t00089,0-fu0N-npmg,89.41,94.41,5.0,1.0,1.0,4.33,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0005_t00089.mp4
0-fu0N-npmg_clip0006_t00093,0-fu0N-npmg,93.41,97.726,4.316,1.0,1.0,3.61,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0006_t00093.mp4
0-fu0N-npmg_clip0007_t00097,0-fu0N-npmg,97.89,102.11,4.22,1.0,1.0,4.89,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0007_t00097.mp4
0-fu0N-npmg_clip0008_t00102,0-fu0N-npmg,102.306,104.67,2.364,1.0,1.0,4.44,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0008_t00102.mp4
0-fu0N-npmg_clip0009_t00123,0-fu0N-npmg,123.426,126.782,3.356,1.0,1.0,3.71,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0009_t00123.mp4
0-fu0N-npmg_clip0010_t00146,0-fu0N-npmg,146.37,148.734,2.364,1.0,1.0,3.82,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0010_t00146.mp4
0-fu0N-npmg_clip0011_t00161,0-fu0N-npmg,161.57,164.894,3.324,1.0,1.0,3.59,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0011_t00161.mp4
0-fu0N-npmg_clip0012_t00168,0-fu0N-npmg,168.034,170.078,2.044,1.0,1.0,2.9,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0012_t00168.mp4
0-fu0N-npmg_clip0013_t00170,0-fu0N-npmg,170.466,172.51,2.044,1.0,1.0,3.2,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0013_t00170.mp4
0-fu0N-npmg_clip0014_t00185,0-fu0N-npmg,185.57,190.57,5.0,1.0,1.0,2.78,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0014_t00185.mp4
0-fu0N-npmg_clip0015_t00189,0-fu0N-npmg,189.57,194.57,5.0,1.0,1.0,2.61,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0015_t00189.mp4
0-fu0N-npmg_clip0016_t00193,0-fu0N-npmg,193.57,198.57,5.0,1.0,1.0,2.11,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0016_t00193.mp4
0-fu0N-npmg_clip0017_t00199,0-fu0N-npmg,199.49,204.286,4.796,1.0,1.0,2.05,/kaggle/working/clips/tier1/0-fu0N-npmg_clip0017_t00199.mp4
