video,filename,start,end,reason,detail,run_id,tier
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,698.658,708.19,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,708.354,710.334,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,710.498,718.686,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,720.834,722.142,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,727.298,733.758,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,734.466,740.094,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,740.354,744.062,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,744.322,746.078,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,753.154,754.782,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,762.658,766.11,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,766.21,767.486,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,767.682,769.054,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,769.25,771.038,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,771.362,772.446,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,772.61,773.854,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,773.986,777.342,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,777.634,780.766,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,780.962,782.174,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,782.37,783.646,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,783.874,786.142,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,786.306,788.254,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,788.61,790.526,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,790.818,795.454,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,796.034,804.478,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,804.898,805.438,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,805.57,811.486,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,811.65,812.926,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,813.026,816.414,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,816.578,819.006,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,819.17,822.462,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,822.562,823.774,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,824.162,827.87,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,828.034,829.726,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,829.922,832.222,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,832.354,834.142,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,834.306,836.766,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,836.962,838.206,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,838.37,839.87,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,840.034,841.566,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,842.146,842.878,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,843.074,846.11,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,846.274,849.118,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,849.378,851.646,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,851.874,853.118,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,853.218,855.102,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,855.33,856.19,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,856.29,857.598,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,857.858,862.334,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,862.498,864.798,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,865.154,871.646,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,871.842,874.462,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,874.946,876.062,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,876.162,877.374,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,877.474,881.63,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,882.082,883.582,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,883.778,889.79,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,890.114,897.214,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,897.314,899.134,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,899.426,902.11,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,902.306,903.902,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
