clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta
-jDBwP6g2tA_clip0062_t00364,-jDBwP6g2tA,364.578,366.814,2.236,1.0,1.0,12.28,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0062_t00364.mp4,tier1,1
-jDBwP6g2tA_clip0063_t00367,-jDBwP6g2tA,367.362,370.59,3.228,1.0,1.0,13.31,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0063_t00367.mp4,tier1,1
-jDBwP6g2tA_clip0064_t00370,-jDBwP6g2tA,370.914,375.838,4.924,1.0,1.0,13.4,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0064_t00370.mp4,tier1,1
-jDBwP6g2tA_clip0065_t00379,-jDBwP6g2tA,379.234,381.31,2.076,1.0,1.0,14.57,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0065_t00379.mp4,tier1,1
-jDBwP6g2tA_clip0066_t00386,-jDBwP6g2tA,386.338,389.726,3.388,1.0,1.0,13.65,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0066_t00386.mp4,tier1,1
-jDBwP6g2tA_clip0067_t00390,-jDBwP6g2tA,390.082,393.086,3.004,1.0,1.0,13.22,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0067_t00390.mp4,tier1,1
-jDBwP6g2tA_clip0068_t00399,-jDBwP6g2tA,399.714,406.654,6.94,1.0,1.0,13.21,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0068_t00399.mp4,tier1,1
-jDBwP6g2tA_clip0069_t00406,-jDBwP6g2tA,406.946,413.15,6.204,1.0,1.0,12.74,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0069_t00406.mp4,tier1,1
-jDBwP6g2tA_clip0070_t00413,-jDBwP6g2tA,413.314,420.062,6.748,1.0,1.0,13.22,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0070_t00413.mp4,tier1,1
-jDBwP6g2tA_clip0071_t00420,-jDBwP6g2tA,420.386,422.846,2.46,1.0,1.0,13.72,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0071_t00420.mp4,tier1,1
-jDBwP6g2tA_clip0072_t00425,-jDBwP6g2tA,425.698,427.742,2.044,1.0,1.0,13.29,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0072_t00425.mp4,tier1,1
-jDBwP6g2tA_clip0073_t00429,-jDBwP6g2tA,429.058,435.614,6.556,1.0,1.0,12.15,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0073_t00429.mp4,tier1,1
-jDBwP6g2tA_clip0074_t00436,-jDBwP6g2tA,436.994,442.91,5.916,1.0,1.0,12.62,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0074_t00436.mp4,tier1,1
-jDBwP6g2tA_clip0075_t00443,-jDBwP6g2tA,443.042,448.062,5.02,1.0,1.0,13.65,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0075_t00443.mp4,tier1,1
-jDBwP6g2tA_clip0076_t00448,-jDBwP6g2tA,448.418,456.542,8.124,1.0,1.0,12.63,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0076_t00448.mp4,tier1,1
-jDBwP6g2tA_clip0077_t00458,-jDBwP6g2tA,458.434,463.55,5.116,1.0,1.0,13.55,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0077_t00458.mp4,tier1,1
-jDBwP6g2tA_clip0078_t00463,-jDBwP6g2tA,463.874,467.422,3.548,1.0,1.0,12.92,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0078_t00463.mp4,tier1,1
-jDBwP6g2tA_clip0079_t00467,-jDBwP6g2tA,467.682,469.726,2.044,1.0,1.0,13.17,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0079_t00467.mp4,tier1,1
-jDBwP6g2tA_clip0080_t00469,-jDBwP6g2tA,469.858,472.798,2.94,1.0,1.0,11.39,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0080_t00469.mp4,tier1,1
-jDBwP6g2tA_clip0081_t00472,-jDBwP6g2tA,472.962,475.902,2.94,1.0,1.0,12.4,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0081_t00472.mp4,tier1,1
-jDBwP6g2tA_clip0082_t00481,-jDBwP6g2tA,481.762,485.854,4.092,1.0,1.0,13.15,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0082_t00481.mp4,tier1,1
-jDBwP6g2tA_clip0083_t00486,-jDBwP6g2tA,486.114,495.454,9.34,1.0,1.0,12.94,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0083_t00486.mp4,tier1,1
-jDBwP6g2tA_clip0084_t00495,-jDBwP6g2tA,495.778,499.166,3.388,1.0,1.0,13.39,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0084_t00495.mp4,tier1,1
