video,start,end,reason
7470509227027516679,94.498,95.518,segment_too_short
7470509227027516679,95.874,98.462,scene_cut_detected
7470509227027516679,98.85,99.166,segment_too_short
7478938325173292295,,,video_decode_failed
7479451710583262472,,,no_speech_detected
7479821987913731329,,,no_speech_detected
7480941588701646088,,,video_decode_failed
7482055462540643602,,,video_decode_failed
7482280085773487367,,,video_decode_failed
7480166207929306386,4.418,5.342,segment_too_short
7481605555371494664,0.738,2.654,segment_too_short
7482008604506082578,,,video_decode_failed
7482638421232569608,,,video_decode_failed
7484207012113403154,0.866,1.918,segment_too_short
7484207012113403154,2.69,4.094,segment_too_short
7484972588498701586,,,video_decode_failed
7485262953432796423,,,no_speech_detected
7485343091189140754,,,video_decode_failed
7485714397948628232,,,video_decode_failed
7485722525524053266,,,no_speech_detected
7484246747322092808,,,video_decode_failed
7486451379851119880,,,video_decode_failed
7486818995316755717,,,no_speech_detected
7484979323171065095,30.978,32.414,segment_too_short
7487198367345396997,,,no_speech_detected
7486460627158945032,,,video_decode_failed
7488696515070905655,,,video_decode_failed
7489454077126954246,,,video_decode_failed
7489689574680169733,,,video_decode_failed
7487196138769009975,,,video_decode_failed
7487946758610226437,0.034,1.15,segment_too_short
7487946758610226437,1.378,3.326,segment_too_short
7487946758610226437,4.194,4.766,segment_too_short
7487946758610226437,5.09,5.566,segment_too_short
7487946758610226437,18.818,23.818,scene_cut_detected
7487946758610226437,22.818,27.818,scene_cut_detected
7487946758610226437,26.818,31.818,scene_cut_detected
7487946758610226437,30.818,35.818,face_density_low
7487946758610226437,34.818,39.818,scene_cut_detected
7487946758610226437,38.818,43.818,scene_cut_detected
7487946758610226437,42.818,47.818,scene_cut_detected
7487946758610226437,46.818,51.818,scene_cut_detected
7487946758610226437,50.818,54.686,scene_cut_detected
7487946758610226437,55.17,57.406,face_density_low
7487946758610226437,57.506,59.102,segment_too_short
7490426025210383671,,,video_decode_failed
7489801278558719287,,,video_decode_failed
7491543482981453074,,,video_decode_failed
7492395100811709703,,,no_speech_detected
7492446197274168584,,,no_speech_detected
7492649707915775250,,,video_decode_failed
